"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","collectDate","ovenStartDate","ovenEndDate","sampleCondition","cnSampleID","ligninSampleID","archiveSampleID","processedBy","remarks","dataQF"
"106383c3-bd1c-406f-8239-3f187c0c519b","ORNL_007.basePlot.cfc","D07","ORNL","ORNL_007","distributed","vOIarzMvGlg04p2XhkcV4ubzj+23LgYTQ51SpDwliJE=","2017-06-06T15:43Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGlg04p2XhkcV4ubzj+23LgYTUFdZVc5qgVQ=","vOIarzMvGlg04p2XhkcV4ubzj+23LgYTYhxPGA5WaF4=","vOIarzMvGlg04p2XhkcV4ubzj+23LgYTtJeEzqcu/lc=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"1b8ddad4-16b6-43ce-82af-4813a95f8664","ORNL_043.basePlot.cfc","D07","ORNL","ORNL_043","tower","vOIarzMvGliaklg0KdNYHhYvHmy1htez+MX+VsYoX0w=","2017-06-07T14:52Z","2017-06-08T16:00Z","2017-06-14T19:35Z","OK","vOIarzMvGliaklg0KdNYHhYvHmy1hteznkXHXlzb3jg=","vOIarzMvGliaklg0KdNYHhYvHmy1htez7+A3HONPY8o1/RKyWLQCtw==","vOIarzMvGliaklg0KdNYHhYvHmy1htezQajUZvF4nWs=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"1e60cae4-a2c7-4144-a640-f197b5ad8a47","ORNL_049.basePlot.cfc","D07","ORNL","ORNL_049","tower","vOIarzMvGlggtSAtpZokAazdbIV1gXuSaipiyRxuVpk=","2017-06-07T15:44Z","2017-06-08T16:00Z","2017-06-14T17:31Z","OK","vOIarzMvGlggtSAtpZokAazdbIV1gXuS4Nj32owI8js=","vOIarzMvGlggtSAtpZokAazdbIV1gXuS22dUSxEgAjs=","vOIarzMvGlggtSAtpZokAazdbIV1gXuSMU6HbHkWlAA=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"3912faf6-d44b-43a1-96fe-1c2f837e0683","ORNL_049.basePlot.cfc","D07","ORNL","ORNL_049","tower","vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOy3ZD6elNJ5DA=","2017-06-07T15:46Z","2017-06-08T16:00Z","2017-06-14T17:39Z","OK","vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOytKty4iT0Z7M=","vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOyaNZNrkGD+4w=","vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOyp1jrjzx0ysg=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"150adb8d-1d06-41cf-839c-babf305aae02","ORNL_049.basePlot.cfc","D07","ORNL","ORNL_049","tower","vOIarzMvGlgxc1J/YgiHbyg39cAsBSa2S/DZ1N1BBeM=","2017-06-07T15:47Z","2017-06-08T16:00Z","2017-06-14T19:20Z","OK","vOIarzMvGlgxc1J/YgiHbyg39cAsBSa2ocXug5bB/7Q=","vOIarzMvGlgxc1J/YgiHbyg39cAsBSa2Dr3Pr5g7imQ=","vOIarzMvGlgxc1J/YgiHbyg39cAsBSa21dBQlTbHBEI=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"8ab75f31-1e44-4287-ac3c-be2168a40a7d","ORNL_043.basePlot.cfc","D07","ORNL","ORNL_043","tower","vOIarzMvGljqcaHti5RX4MbD/aC8cxeX0y7VDTdttVI=","2017-06-07T15:49Z","2017-06-08T16:00Z","2017-06-14T18:50Z","OK","vOIarzMvGljqcaHti5RX4MbD/aC8cxeXSLVFhouyDtM=","vOIarzMvGljqcaHti5RX4MbD/aC8cxeXJh6z5RYTFzw=","vOIarzMvGljqcaHti5RX4MbD/aC8cxeXMlru7wqmK5c=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"1b82b71b-4fea-4616-823f-3f50d366920b","ORNL_053.basePlot.cfc","D07","ORNL","ORNL_053","tower","vOIarzMvGli/jyfR0JsN+CRGHbHCa4khccNCOHiqvak=","2017-06-07T15:54Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGli/jyfR0JsN+CRGHbHCa4khspUD1urXUDM=","vOIarzMvGli/jyfR0JsN+CRGHbHCa4khcLMnc+kr5VM=","vOIarzMvGli/jyfR0JsN+CRGHbHCa4khB0ZiOxHvmcc=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"7f3c42cf-5ae3-4096-a28d-726f955e0d35","ORNL_053.basePlot.cfc","D07","ORNL","ORNL_053","tower","vOIarzMvGlgUL6X8nUTHVzoVORji2FLFYo34UlxWR9w=","2017-06-07T15:55Z","2017-06-08T16:00Z","2017-06-14T19:15Z","OK","vOIarzMvGlgUL6X8nUTHVzoVORji2FLF0oOlzMSYwfE=","vOIarzMvGlgUL6X8nUTHVzoVORji2FLFLNPHTf3d3X6NyGVNTGkvCg==","vOIarzMvGlgUL6X8nUTHVzoVORji2FLFMJd8oj1Rpjg=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"f42dc9c0-c449-442b-afeb-b6cd0d644afa","ORNL_053.basePlot.cfc","D07","ORNL","ORNL_053","tower","vOIarzMvGliqgT8LShYclzhzbztLvcGmiYyWpzEv+Vs=","2017-06-07T15:59Z","2017-06-08T16:00Z","2017-06-14T18:00Z","OK","vOIarzMvGliqgT8LShYclzhzbztLvcGm47N5dKEW2ZQ=","vOIarzMvGliqgT8LShYclzhzbztLvcGmZapfKEcl6k0=","vOIarzMvGliqgT8LShYclzhzbztLvcGmNoYm+WSgRv4=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"d97aaccf-a28f-446a-bc08-e680988175fb","ORNL_043.basePlot.cfc","D07","ORNL","ORNL_043","tower","vOIarzMvGliaklg0KdNYHoMZLjy5/S73MbiMx4xHshA=","2017-06-07T16:54Z","2017-06-08T16:00Z","2017-06-14T19:30Z","OK","vOIarzMvGliaklg0KdNYHoMZLjy5/S73D6EA+l0HB40=","vOIarzMvGliaklg0KdNYHoMZLjy5/S73ESk+zPvhRPqltmihyv1XuQ==","vOIarzMvGliaklg0KdNYHoMZLjy5/S73J9i15Cvy/Jg=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
"7ba36dc9-259e-40d6-b26c-e8da050463c0","ORNL_046.basePlot.cfc","D07","ORNL","ORNL_046","tower","vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMqDE0blr86UU=","2017-06-08T16:25Z","2017-06-08T17:00Z","2017-06-14T19:40Z","OK","vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMNXDJbFepKHI=","vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMNy9pAzrJh40=","vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMFoxhMOywnKk=","o8zDrSGfNRHXTwkNXPAdRAjPrJVp6LTtS+vSpO9tqxI=",NA,NA
